area_sqft,bedrooms,bathrooms,property_age,distance_city_km,school_rating,parking_slots,location,property_type,furnishing,price
1917,1,4,8,2.98,4.9,1,Good,Independent House,Unfurnished,14820226.92
4144,2,4,29,18.9,3.9,2,Good,Apartment,Semi-Furnished,23565344.96
3501,4,2,2,19.34,6.8,2,Good,Villa,Unfurnished,23900469.99
876,2,3,21,30.26,2.2,2,Good,Apartment,Unfurnished,4003396.73
3500,4,1,39,4.32,7.4,2,Good,Apartment,Fully-Furnished,20041979.51
4479,5,2,19,9.18,9.8,3,Good,Apartment,Fully-Furnished,27560438.13
4008,2,3,31,14.82,8.2,3,Average,Independent House,Unfurnished,22934246.33
2701,2,4,6,30.44,8.7,0,Developing,Independent House,Semi-Furnished,15908247.7
1585,2,2,6,32.92,4.2,0,Good,Villa,Unfurnished,11528330.83
2822,3,4,19,34.75,3.9,1,Prime,Independent House,Semi-Furnished,17868141.3
4480,4,1,24,33.61,5.7,3,Average,Independent House,Semi-Furnished,22119159.32
3779,4,4,34,1.2,1.4,0,Average,Apartment,Unfurnished,19909157.81
1399,2,1,23,2.62,9.5,3,Developing,Apartment,Semi-Furnished,10194217.31
4049,3,4,39,6.02,2.3,3,Prime,Apartment,Unfurnished,23934582.03
3448,2,4,12,12.86,9.1,1,Prime,Apartment,Unfurnished,22510911.5
1823,4,1,38,29.22,1.8,1,Good,Apartment,Semi-Furnished,7791209.97
2480,5,4,3,31.35,8.4,2,Average,Apartment,Semi-Furnished,17287320.17
3436,3,3,11,7.35,2.4,3,Good,Independent House,Semi-Furnished,23981917.62
1406,3,4,16,22.07,1.3,2,Average,Independent House,Semi-Furnished,9978251.21
2151,2,2,0,32.19,7.5,2,Prime,Apartment,Semi-Furnished,16456726.59
4334,5,4,16,16.77,3.5,2,Good,Independent House,Semi-Furnished,26607171.08
3391,4,3,1,4.52,7.4,3,Average,Apartment,Semi-Furnished,21535932.53
2932,1,2,5,16.57,6.0,3,Good,Independent House,Semi-Furnished,20568686.48
3947,4,3,10,13.78,2.0,2,Average,Apartment,Semi-Furnished,23210772.82
1753,4,2,17,20.64,9.4,3,Good,Apartment,Semi-Furnished,14172896.62
820,5,4,39,15.91,5.1,2,Good,Independent House,Semi-Furnished,8264449.11
4191,3,3,24,1.59,7.6,0,Good,Apartment,Semi-Furnished,25166950.49
3430,4,4,38,34.8,5.5,3,Good,Apartment,Semi-Furnished,18989385.62
2746,3,2,27,19.48,6.4,1,Prime,Apartment,Semi-Furnished,18850542.82
3388,5,3,15,17.1,3.7,1,Average,Villa,Semi-Furnished,22459073.49
2678,5,1,11,33.46,2.8,2,Average,Independent House,Semi-Furnished,16045039.1
1152,2,3,28,6.3,5.9,0,Good,Apartment,Fully-Furnished,7753172.07
3496,1,4,22,7.43,5.0,3,Prime,Independent House,Semi-Furnished,23796492.47
2124,5,1,20,28.47,4.5,2,Developing,Apartment,Fully-Furnished,12273519.66
2575,5,1,15,9.87,7.1,0,Good,Apartment,Semi-Furnished,17833526.8
3416,3,2,25,28.17,7.2,0,Prime,Apartment,Fully-Furnished,21711702.67
3382,5,1,36,10.23,1.4,3,Good,Villa,Semi-Furnished,20539564.54
2833,4,1,21,2.13,4.0,1,Average,Apartment,Fully-Furnished,18978888.47
499,2,2,9,18.58,4.7,1,Good,Apartment,Unfurnished,3790441.68
2582,2,3,6,7.69,1.9,0,Average,Apartment,Unfurnished,15190807.69
4216,4,4,8,26.77,3.1,1,Good,Apartment,Semi-Furnished,23381531.65
3192,5,3,24,22.8,1.5,0,Prime,Villa,Fully-Furnished,19996100.2
2501,1,1,14,32.4,10.0,0,Good,Apartment,Semi-Furnished,13871203.06
1442,5,4,12,27.62,7.6,0,Average,Apartment,Unfurnished,8970544.57
4471,2,3,25,7.15,1.8,1,Average,Apartment,Semi-Furnished,22693514.89
2814,1,4,20,28.21,1.2,2,Prime,Apartment,Semi-Furnished,16381692.32
1584,3,1,22,22.82,7.5,1,Prime,Villa,Unfurnished,14629287.27
1807,3,3,27,23.74,5.0,2,Average,Apartment,Semi-Furnished,8737573.38
2324,5,4,37,29.3,8.1,1,Average,Apartment,Fully-Furnished,14223800.65
1212,5,4,11,20.51,9.3,3,Good,Apartment,Fully-Furnished,13100072.41
3654,1,3,23,16.84,6.4,3,Average,Apartment,Unfurnished,20197964.24
3109,1,3,12,22.65,2.7,1,Prime,Independent House,Unfurnished,19267623.94
1454,5,1,39,11.13,8.0,3,Good,Villa,Semi-Furnished,11479779.87
3411,2,2,1,7.21,9.6,3,Prime,Apartment,Semi-Furnished,23760250.61
4205,3,4,38,21.96,6.2,3,Average,Apartment,Unfurnished,20144573.29
3296,1,3,11,8.95,7.1,3,Good,Villa,Semi-Furnished,23219832.74
2616,2,3,38,3.72,4.0,2,Average,Independent House,Semi-Furnished,16518429.82
799,5,3,13,1.02,4.4,0,Average,Apartment,Fully-Furnished,8475143.63
3414,4,4,29,21.68,7.6,2,Average,Villa,Fully-Furnished,22259021.77
1136,1,1,18,13.31,9.3,0,Good,Villa,Unfurnished,8771902.15
991,4,2,30,26.58,6.7,0,Prime,Apartment,Fully-Furnished,9017689.12
3576,2,4,24,13.76,8.1,1,Developing,Apartment,Semi-Furnished,20080706.35
810,3,1,3,17.52,2.5,1,Average,Villa,Semi-Furnished,7138087.7
3205,2,4,12,14.84,2.9,1,Average,Apartment,Semi-Furnished,17708304.88
3974,3,4,35,23.12,5.8,1,Prime,Villa,Semi-Furnished,25369925.43
4074,2,3,36,13.11,2.6,1,Good,Independent House,Unfurnished,18976006.42
3182,1,1,2,33.77,6.7,2,Average,Independent House,Semi-Furnished,19568907.76
2827,1,3,15,32.83,3.6,2,Prime,Apartment,Unfurnished,16761511.44
2716,4,3,25,29.83,8.1,3,Average,Apartment,Semi-Furnished,16320454.88
2705,2,1,39,32.29,8.3,2,Good,Apartment,Unfurnished,12694352.65
2143,2,3,38,16.27,5.2,2,Prime,Villa,Unfurnished,13714349.77
3342,4,3,18,19.24,2.6,1,Good,Independent House,Semi-Furnished,20963056.66
4261,5,2,14,26.23,6.8,3,Good,Villa,Semi-Furnished,27120068.71
534,2,1,31,24.67,9.9,2,Prime,Apartment,Semi-Furnished,6453503.91
1134,2,1,20,31.28,6.6,2,Average,Independent House,Unfurnished,8169646.29
694,2,3,0,25.36,1.3,3,Good,Independent House,Fully-Furnished,9463257.49
3369,5,3,5,34.93,1.2,0,Good,Apartment,Semi-Furnished,20755913.68
3520,1,1,26,12.85,3.9,1,Developing,Apartment,Unfurnished,16491468.81
4206,4,1,22,29.32,2.8,2,Good,Villa,Semi-Furnished,23291108.81
1808,5,4,30,24.72,8.3,2,Good,Villa,Semi-Furnished,14606224.84
3733,3,1,11,24.51,8.6,3,Average,Independent House,Unfurnished,22641697.04
1045,3,4,20,12.08,3.3,2,Developing,Apartment,Semi-Furnished,8288870.87
3182,5,3,1,27.71,3.9,1,Prime,Apartment,Fully-Furnished,20921469.44
3704,5,2,4,31.61,3.1,2,Good,Villa,Semi-Furnished,23773083.85
4476,1,2,8,8.43,9.2,0,Average,Independent House,Unfurnished,27488987.49
1606,3,4,19,22.27,5.5,1,Good,Independent House,Fully-Furnished,12676012.02
3511,4,3,17,14.33,6.9,0,Average,Independent House,Unfurnished,22039310.67
3511,2,3,21,34.64,4.7,3,Developing,Apartment,Fully-Furnished,18160405.77
4413,2,3,7,17.28,6.7,1,Developing,Independent House,Unfurnished,25905274.55
2273,1,1,33,8.76,4.5,2,Good,Apartment,Semi-Furnished,11635815.51
2247,1,3,8,13.98,4.1,1,Good,Apartment,Semi-Furnished,13547338.5
799,3,1,6,23.23,6.7,1,Developing,Apartment,Unfurnished,5880044.7
2779,4,4,29,3.59,6.3,1,Good,Independent House,Semi-Furnished,17888000.39
2790,4,2,17,21.52,3.6,0,Good,Independent House,Semi-Furnished,17147633.45
1742,5,4,26,32.66,2.3,3,Average,Apartment,Unfurnished,9861388.99
2334,1,3,15,29.91,4.3,1,Good,Apartment,Semi-Furnished,14441572.05
3718,2,3,20,3.3,4.7,2,Good,Independent House,Semi-Furnished,23669846.37
2010,2,4,4,34.78,6.7,1,Developing,Apartment,Unfurnished,11943305.62
4174,3,1,28,24.76,9.2,1,Prime,Independent House,Fully-Furnished,26982428.26
1433,2,1,36,6.52,1.3,3,Prime,Apartment,Fully-Furnished,9523608.17
4256,4,1,21,1.42,3.2,2,Good,Apartment,Unfurnished,24076625.6
2517,4,2,13,6.82,2.7,2,Average,Apartment,Semi-Furnished,17873871.33
3256,1,2,18,29.5,5.5,0,Prime,Apartment,Unfurnished,18002590.0
2313,3,3,34,1.74,4.9,2,Good,Apartment,Semi-Furnished,15632987.67
2429,2,4,23,8.93,7.6,2,Average,Apartment,Fully-Furnished,16492164.09
2186,1,4,5,26.75,3.2,2,Average,Apartment,Semi-Furnished,11272497.66
2902,5,3,2,20.93,6.4,1,Good,Apartment,Fully-Furnished,20554631.35
1588,5,1,33,27.61,9.0,0,Average,Independent House,Semi-Furnished,10325672.72
2368,2,2,1,26.37,9.2,2,Good,Apartment,Semi-Furnished,16513762.91
1150,2,4,14,2.72,9.6,2,Average,Apartment,Fully-Furnished,10613698.77
3477,2,3,36,31.35,8.0,2,Good,Independent House,Semi-Furnished,18286372.44
4496,4,1,14,8.72,9.2,1,Prime,Villa,Semi-Furnished,30244791.0
2523,2,1,31,19.82,3.1,1,Average,Apartment,Semi-Furnished,11571784.5
1015,5,2,20,22.91,2.8,0,Good,Villa,Unfurnished,10155686.0
4203,2,2,16,6.73,1.1,3,Prime,Independent House,Unfurnished,27806579.74
844,3,3,33,34.19,7.4,0,Good,Independent House,Fully-Furnished,8152938.06
2406,5,3,31,17.6,9.4,1,Average,Apartment,Semi-Furnished,15574966.69
3498,3,1,22,2.96,2.7,2,Good,Independent House,Fully-Furnished,21044693.76
3902,5,1,34,32.87,6.7,2,Prime,Apartment,Unfurnished,21496993.44
972,1,4,36,20.93,7.7,0,Prime,Apartment,Semi-Furnished,7865133.45
2012,5,1,36,24.77,9.3,2,Good,Independent House,Fully-Furnished,13791804.87
3359,5,3,32,18.86,6.8,1,Good,Apartment,Unfurnished,19703885.09
1556,3,2,24,29.38,9.7,0,Good,Independent House,Unfurnished,11581837.5
3299,3,3,36,2.13,4.1,3,Prime,Apartment,Semi-Furnished,21432461.06
999,5,4,39,10.12,4.1,1,Good,Apartment,Semi-Furnished,8823221.14
1918,5,4,20,16.97,5.9,1,Average,Independent House,Unfurnished,13059667.91
2584,4,2,37,3.6,4.5,2,Average,Apartment,Fully-Furnished,15899745.83
4470,1,3,39,25.0,1.0,1,Developing,Independent House,Fully-Furnished,20169919.09
1282,1,4,33,14.38,7.6,1,Prime,Independent House,Semi-Furnished,10686357.64
836,2,3,18,10.27,7.8,3,Developing,Independent House,Semi-Furnished,9150104.52
1412,5,4,26,1.11,7.7,2,Good,Apartment,Fully-Furnished,14568086.21
3165,5,2,8,25.47,4.1,1,Developing,Apartment,Semi-Furnished,18198612.14
1871,5,4,4,29.35,5.7,2,Good,Independent House,Unfurnished,15366523.62
4341,5,3,4,14.43,4.2,1,Good,Villa,Unfurnished,28401538.44
735,1,3,24,20.18,1.1,3,Good,Apartment,Unfurnished,4701384.23
3195,3,4,25,8.74,6.1,2,Good,Independent House,Unfurnished,19648444.19
4215,4,1,18,22.15,2.1,2,Average,Villa,Unfurnished,22246641.87
3462,3,2,29,1.41,1.7,3,Average,Independent House,Semi-Furnished,20048856.71
818,3,2,35,17.61,7.8,0,Developing,Apartment,Unfurnished,4139471.15
3152,1,4,15,22.9,1.1,1,Average,Apartment,Unfurnished,15482799.14
1895,4,4,6,32.22,9.6,1,Good,Apartment,Semi-Furnished,14936891.45
2191,5,1,17,13.97,5.6,0,Prime,Apartment,Unfurnished,15625270.96
3151,1,2,20,27.02,9.8,2,Developing,Villa,Semi-Furnished,18919881.26
3194,1,1,30,21.32,1.5,2,Average,Apartment,Unfurnished,13820471.91
