annual_income,spending_score,website_visits,app_sessions,avg_order_value,orders_per_month,return_rate,loyalty_years,region,membership
1022355,6,13,18,3746.47,7,0.04,7.5,West,Platinum
574987,21,16,19,5141.69,4,0.22,9.7,East,Silver
2472114,20,17,14,806.66,5,0.45,7.7,South,Silver
379392,82,6,23,4226.88,5,0.23,9.9,West,Silver
1636761,96,19,17,16786.47,5,0.44,3.4,North,Silver
1969120,27,15,19,12455.98,2,0.34,4.9,South,Gold
2866175,93,13,18,5140.81,7,0.12,0.1,West,Gold
2029288,40,11,15,17815.51,3,0.1,0.6,West,Silver
1046047,34,16,12,11746.03,5,0.15,11.0,West,Silver
2439370,98,17,15,3741.08,4,0.25,8.2,West,Platinum
459810,73,14,16,3182.97,1,0.12,8.1,West,Platinum
1336869,84,7,21,1973.22,0,0.0,6.6,South,Gold
2620937,39,10,25,8769.65,7,0.28,3.0,East,Silver
1934494,35,14,11,13313.04,4,0.25,11.1,West,Silver
2267100,18,12,14,15671.66,6,0.44,4.6,North,Gold
2614286,29,17,18,11361.38,6,0.45,3.2,West,Silver
1103432,77,12,14,15940.76,4,0.14,7.9,South,Silver
302444,57,11,18,6994.86,2,0.13,11.8,West,Gold
761269,82,12,11,9020.88,2,0.4,7.3,West,Silver
1999565,88,9,12,17122.5,8,0.28,0.2,East,Silver
566286,65,15,16,12661.36,2,0.43,11.2,North,Gold
1555667,13,10,21,5580.02,7,0.12,4.8,South,Gold
1426718,56,13,14,5678.31,3,0.22,0.9,West,Silver
982885,54,14,21,4113.22,4,0.17,2.9,East,Gold
2576551,56,11,15,9706.61,3,0.15,4.3,North,Platinum
2817772,34,7,16,8417.81,4,0.29,2.0,West,Gold
2620322,21,7,18,682.54,6,0.14,7.2,North,Silver
1460377,71,11,12,7281.37,9,0.2,8.9,East,Silver
2877607,71,12,17,17638.23,4,0.11,7.6,East,Gold
633746,5,6,15,15021.83,4,0.22,8.5,East,Platinum
841492,62,14,20,4065.11,4,0.29,9.9,West,Gold
2274644,22,8,21,3525.66,2,0.33,4.3,West,Silver
514646,15,8,12,8224.52,4,0.01,6.3,North,Platinum
285075,67,10,26,13472.99,7,0.33,3.3,North,Gold
1073199,11,9,21,2696.17,2,0.19,5.4,West,Silver
571880,13,13,12,17657.27,4,0.07,0.3,North,Silver
1118866,26,8,25,6103.35,7,0.44,7.5,South,Silver
869206,16,10,18,15106.35,3,0.16,10.6,South,Silver
385209,39,13,22,13802.99,4,0.41,8.3,South,Gold
566664,60,12,15,12734.49,3,0.2,1.1,West,Silver
1602809,51,7,14,1208.4,6,0.22,3.7,West,Gold
2516422,3,10,22,11863.46,7,0.26,8.0,West,Gold
2378008,44,8,20,7159.48,6,0.37,6.7,East,Platinum
2582847,100,11,19,505.71,4,0.1,2.2,West,Silver
261408,46,17,10,2071.2,1,0.36,10.4,East,Silver
1067956,16,7,16,651.24,7,0.39,2.3,East,Gold
2536616,16,8,18,15073.74,9,0.05,0.3,East,Silver
1291462,26,15,16,12304.51,2,0.07,1.9,West,Silver
2935187,76,10,16,14562.73,5,0.33,0.2,South,Platinum
2195043,93,8,15,15315.72,3,0.11,3.1,North,Gold
2879415,5,20,20,8291.0,10,0.31,3.9,West,Silver
880019,87,9,24,718.88,7,0.08,3.5,South,Gold
471059,95,11,14,6169.89,7,0.37,9.3,West,Silver
734835,82,13,15,8819.36,4,0.26,7.3,North,Silver
1745895,30,18,20,2002.96,6,0.22,8.5,West,Silver
1722601,25,11,12,14711.74,3,0.13,6.4,North,Silver
2063315,18,12,18,3896.13,2,0.23,0.5,North,Gold
2804698,14,11,12,2250.84,9,0.4,1.5,East,Platinum
549661,30,14,25,14260.63,4,0.32,7.3,East,Silver
939332,55,13,17,7544.18,6,0.4,0.6,West,Gold
1222523,7,12,17,8271.77,4,0.08,10.7,North,Gold
2714296,12,15,25,976.83,2,0.33,3.0,East,Silver
1519959,56,18,21,11886.55,7,0.19,2.7,East,Platinum
210173,36,15,22,6480.64,6,0.43,9.9,East,Silver
2875280,18,13,20,10657.59,4,0.32,6.6,South,Silver
2809680,36,16,18,11182.18,3,0.09,3.9,North,Silver
1682303,75,11,13,9774.25,4,0.06,2.9,East,Gold
2582402,72,13,14,17181.93,5,0.41,0.2,South,Gold
1710272,33,10,16,17980.5,5,0.13,7.1,East,Gold
783681,80,18,20,17848.65,4,0.31,2.7,East,Silver
630718,27,14,25,2267.42,4,0.01,10.0,North,Silver
1091325,51,12,17,7415.53,5,0.43,6.3,West,Silver
1410307,100,10,16,13300.02,6,0.37,3.5,North,Silver
2527808,6,19,17,13420.14,4,0.25,4.4,North,Silver
2326045,98,20,14,15226.58,6,0.04,1.1,East,Gold
1509115,74,20,26,13736.31,4,0.05,11.7,North,Silver
1867655,49,15,18,941.12,1,0.36,10.1,North,Silver
2413800,63,13,18,8721.88,7,0.42,9.0,East,Silver
2322310,80,12,13,16058.95,5,0.42,9.8,North,Gold
2412514,17,9,25,3686.28,5,0.21,3.8,North,Gold
1874892,5,14,22,17786.58,5,0.09,8.8,West,Silver
1644888,93,16,22,12485.47,6,0.32,5.2,East,Silver
1820093,87,14,19,16357.71,3,0.1,10.5,East,Silver
2625185,20,5,18,7927.38,5,0.06,6.2,South,Gold
1885328,53,15,24,8494.04,3,0.13,11.0,West,Silver
1579248,70,16,24,6970.97,2,0.2,5.7,West,Silver
1931748,48,18,18,13027.53,4,0.06,8.1,North,Gold
2073202,65,12,26,9646.72,3,0.36,6.6,North,Gold
201979,30,10,20,15039.78,6,0.19,7.1,West,Silver
1629663,8,14,12,3644.41,3,0.19,9.4,South,Silver
2396344,60,13,21,8853.66,2,0.2,4.8,East,Gold
1303285,4,8,11,6847.86,4,0.08,5.0,South,Gold
2445468,23,12,18,897.45,7,0.41,5.4,East,Silver
1435258,83,9,20,17261.2,5,0.27,8.9,North,Gold
1523427,3,9,21,12079.15,3,0.2,1.5,West,Gold
2491501,8,15,28,1098.73,6,0.37,9.3,West,Silver
1848533,31,14,13,1441.19,4,0.25,0.5,West,Gold
1231635,87,13,18,2536.07,5,0.06,7.3,North,Gold
2951877,1,13,15,10822.51,5,0.08,9.0,West,Silver
2786679,63,11,14,13127.2,5,0.12,6.6,North,Platinum
960927,67,12,22,11497.84,6,0.3,11.5,East,Gold
1439011,77,12,17,10858.87,11,0.3,8.3,North,Silver
2349698,68,12,18,589.86,7,0.23,8.7,North,Platinum
1316961,26,12,18,640.78,3,0.42,11.6,West,Gold
1670228,75,16,16,15730.84,9,0.0,1.4,North,Silver
1735208,70,18,17,16847.4,9,0.13,8.9,West,Gold
2068847,3,14,23,10514.7,1,0.05,2.4,West,Platinum
1117768,100,10,19,496.06,4,0.16,3.2,North,Silver
2453554,38,17,19,14827.07,3,0.09,0.4,North,Gold
2430948,5,12,25,15436.35,4,0.32,5.1,East,Gold
2653980,64,7,24,1957.78,2,0.29,4.1,West,Gold
2948217,71,13,15,17802.47,3,0.06,2.8,East,Silver
310441,56,7,17,12962.4,5,0.43,1.7,East,Gold
2494455,11,16,16,7037.16,4,0.28,3.8,East,Gold
1287565,55,10,20,17457.84,3,0.18,10.5,North,Platinum
1014028,59,8,10,16795.84,6,0.45,6.6,East,Platinum
1609726,49,12,14,3800.41,6,0.31,2.3,South,Silver
975949,45,12,21,13651.7,4,0.16,2.0,East,Gold
763917,45,10,14,2914.68,8,0.44,7.0,South,Gold
1850805,57,9,18,12944.53,3,0.07,2.5,East,Silver
1104751,17,10,16,14138.81,6,0.01,6.8,West,Platinum
651141,93,13,19,8039.16,4,0.27,2.3,North,Silver
1338655,3,19,24,5751.89,6,0.24,9.6,South,Platinum
1990283,80,14,23,16575.63,6,0.23,3.7,South,Silver
2949169,48,12,22,6960.39,4,0.35,7.0,North,Silver
2121647,35,14,16,15266.47,1,0.01,2.6,East,Silver
2369829,96,12,17,997.23,2,0.12,6.2,North,Gold
1900971,66,14,17,2260.98,4,0.39,3.6,South,Silver
2368419,5,14,22,6453.21,5,0.14,0.7,West,Silver
996144,27,6,17,3559.46,8,0.41,11.1,East,Gold
1153157,33,6,23,13919.25,6,0.24,4.4,North,Gold
493057,7,9,29,6779.9,8,0.02,4.0,East,Silver
2938509,69,18,12,1438.91,5,0.2,6.9,West,Silver
2719450,35,12,14,1433.14,7,0.06,3.4,North,Platinum
1288449,90,16,19,4648.24,5,0.03,6.5,West,Silver
2988335,7,12,25,13948.89,5,0.22,9.2,East,Silver
341740,47,19,14,16324.95,9,0.04,5.1,North,Gold
1184219,76,11,20,12152.24,6,0.39,11.9,North,Silver
1865081,19,20,23,8832.46,2,0.22,8.0,West,Platinum
777906,5,6,18,3247.61,7,0.1,10.2,East,Silver
2450618,47,11,22,9006.42,3,0.17,6.7,North,Platinum
1405855,71,6,11,16812.67,6,0.38,2.9,East,Gold
452225,71,16,18,7780.31,2,0.34,6.1,South,Silver
423699,87,6,16,9435.19,5,0.06,9.9,East,Silver
690877,82,10,15,11557.46,7,0.28,8.4,North,Silver
483394,47,11,17,7553.69,6,0.33,3.9,East,Gold
2856394,67,12,18,4674.26,2,0.44,7.1,East,Platinum
2703722,59,14,22,11803.2,4,0.33,3.4,West,Gold
250627,43,18,14,8942.19,4,0.01,8.2,North,Gold
1228328,97,17,15,3064.33,7,0.25,8.5,West,Silver
2092507,4,13,18,12861.27,2,0.14,10.3,North,Gold
365281,31,10,20,3660.36,3,0.3,9.2,South,Silver
1223501,70,14,12,7944.29,7,0.36,5.4,East,Silver
2359296,93,9,17,11152.43,2,0.27,9.7,South,Gold
2860441,73,7,17,807.78,5,0.13,0.4,East,Platinum
1070496,55,18,15,5179.75,5,0.02,10.1,West,Platinum
1080670,71,9,18,17559.13,4,0.22,1.3,South,Silver
1658599,33,16,13,16709.84,4,0.26,3.8,West,Silver
2638998,68,10,13,5854.86,8,0.07,5.0,West,Silver
2205125,62,15,18,4140.6,7,0.2,10.5,North,Silver
414625,69,16,20,7518.61,4,0.11,0.8,West,Silver
1922688,65,14,16,14612.76,5,0.32,4.3,North,Silver
2757566,23,8,24,301.67,2,0.32,1.1,North,Silver
1591894,11,13,18,9147.92,2,0.37,0.9,South,Silver
1986157,3,16,20,14129.17,1,0.4,0.4,South,Silver
449272,32,11,11,11296.1,3,0.13,3.8,South,Gold
869662,57,20,17,17311.61,5,0.05,9.5,East,Silver
440276,63,12,15,5320.2,6,0.45,9.4,West,Gold
1399965,50,17,19,10746.38,5,0.05,7.7,East,Silver
1822148,93,11,22,13545.17,4,0.19,10.9,West,Silver
1667290,91,15,20,14521.39,5,0.32,5.9,West,Platinum
2407672,23,10,13,16993.91,6,0.03,7.5,West,Platinum
713001,96,13,20,14598.41,8,0.2,5.6,West,Platinum
1721157,99,15,14,1066.17,5,0.39,4.5,North,Silver
1860079,48,18,15,829.45,4,0.44,7.3,North,Silver
2020435,73,14,15,10457.08,1,0.24,0.8,West,Gold
1851978,17,22,22,14006.61,4,0.35,5.5,South,Silver
202249,46,3,23,6148.77,9,0.33,0.2,West,Gold
486990,46,11,21,6814.96,6,0.31,5.0,North,Silver
2859479,78,10,20,3458.25,6,0.12,2.6,West,Gold
1585503,65,26,18,15499.14,3,0.07,8.8,East,Silver
2138043,71,12,25,3511.06,8,0.17,0.7,North,Silver
391105,90,11,12,10076.02,6,0.34,10.0,North,Gold
2744161,73,13,18,12877.57,5,0.38,8.4,East,Silver
1173134,30,17,16,11831.76,2,0.12,3.2,South,Silver
2264283,94,13,14,4230.69,5,0.38,4.8,North,Silver
2725929,97,10,23,8461.82,4,0.42,0.8,East,Gold
338758,27,16,24,8635.43,3,0.25,3.4,West,Gold
919525,57,11,19,4885.83,6,0.44,11.6,East,Silver
2822640,26,9,17,5650.44,6,0.37,3.8,North,Silver
2238719,94,10,19,17097.72,7,0.45,6.2,East,Silver
1822128,95,14,18,11274.65,9,0.25,6.1,South,Gold
772512,81,14,20,12855.86,5,0.04,8.9,North,Gold
2320538,30,8,18,6259.88,2,0.19,2.6,East,Platinum
2570655,68,8,22,17291.88,4,0.4,4.3,West,Silver
1414319,45,17,15,4776.85,3,0.14,3.9,North,Silver
2498420,69,15,18,3525.02,2,0.29,0.5,West,Silver
2758723,26,17,21,2414.66,1,0.19,3.3,East,Gold
1853826,33,14,10,4447.6,6,0.3,8.4,South,Gold
2254662,60,14,14,2458.34,7,0.06,8.2,North,Silver
825485,76,12,14,2350.05,6,0.13,1.5,South,Gold
1557239,22,13,14,14766.43,4,0.38,8.3,North,Silver
1205702,84,18,29,16618.83,7,0.16,1.5,East,Gold
388140,61,12,18,15080.7,3,0.19,11.7,East,Silver
535535,17,11,14,8632.61,3,0.05,5.6,West,Gold
754622,25,11,23,3425.7,8,0.22,8.6,East,Silver
1462948,90,13,22,2438.06,4,0.08,11.6,East,Gold
680860,18,12,20,2269.65,2,0.04,0.8,West,Gold
802690,82,8,14,14392.39,4,0.11,10.9,West,Silver
2029062,92,19,20,1439.14,5,0.1,2.5,South,Silver
388555,50,12,16,5746.35,5,0.42,10.2,South,Gold
2613833,45,13,13,12133.19,2,0.16,5.9,East,Gold
525753,93,12,19,13999.45,7,0.27,6.0,West,Platinum
2580651,26,9,17,15706.67,12,0.16,6.1,North,Gold
1686665,27,10,13,12043.2,1,0.15,8.1,South,Gold
236599,35,15,22,7923.69,6,0.42,2.5,South,Silver
1132532,8,11,17,1780.96,6,0.44,0.8,East,Gold
2141267,75,3,20,11885.17,6,0.21,0.9,South,Silver
968848,44,16,7,11117.3,6,0.3,10.3,West,Silver
1823929,54,10,18,10879.73,4,0.44,6.2,West,Silver
617600,4,13,23,8803.38,6,0.14,11.8,North,Silver
1165773,61,10,16,12769.03,8,0.3,2.1,North,Gold
624522,24,16,17,17497.68,5,0.04,5.0,East,Silver
1524637,17,11,23,15321.5,5,0.35,7.6,West,Silver
1923288,77,19,18,7871.57,4,0.09,1.5,East,Gold
881595,40,19,14,4285.61,6,0.42,0.4,South,Platinum
1089594,32,7,17,9777.91,6,0.43,4.8,South,Silver
2708082,67,12,21,15297.62,3,0.17,3.0,North,Gold
1026043,44,12,18,6190.24,7,0.34,5.0,South,Gold
1678544,100,4,20,10192.95,6,0.42,9.3,West,Silver
2485671,20,11,11,3672.99,5,0.03,3.9,South,Silver
567827,86,13,19,4258.7,6,0.33,6.4,South,Silver
302653,15,9,20,7314.53,4,0.17,9.4,North,Gold
306324,91,10,26,4070.2,4,0.31,8.0,East,Platinum
2633997,93,15,18,10123.86,4,0.42,3.8,North,Platinum
1648005,77,11,14,7923.92,5,0.11,1.5,South,Silver
1868949,82,19,17,3012.93,4,0.42,4.1,West,Gold
2992104,55,9,23,10590.35,4,0.01,5.9,East,Gold
1231142,77,12,12,10310.82,4,0.42,5.8,North,Platinum
1250962,16,20,20,12935.55,6,0.22,9.7,West,Silver
2938381,19,19,18,12032.08,7,0.36,4.2,West,Platinum
1967994,100,14,12,10622.52,5,0.01,6.9,East,Gold
1754629,62,6,17,2519.24,9,0.21,5.8,South,Gold
426996,60,17,17,2582.35,4,0.34,11.3,East,Gold
1568028,56,6,16,16947.85,4,0.4,5.1,South,Gold
715446,68,5,23,12635.96,9,0.01,11.6,North,Gold
1345441,39,14,23,11372.98,2,0.05,8.9,North,Silver
1107807,53,15,30,3672.3,4,0.18,11.3,North,Silver
1663011,80,12,22,4102.08,2,0.37,5.9,South,Platinum
713897,44,10,20,1348.84,6,0.3,9.8,South,Silver
1118941,6,17,18,17925.89,6,0.39,2.0,West,Gold
1367640,34,16,18,9248.91,6,0.43,6.3,East,Silver
851835,21,14,13,15068.78,5,0.42,2.1,East,Platinum
2180976,75,12,16,13739.53,6,0.42,6.6,West,Silver
660348,61,10,11,8198.57,6,0.19,6.1,South,Silver
957010,39,11,20,13857.66,5,0.23,3.0,North,Silver
1987476,56,11,20,17445.41,2,0.03,11.0,South,Silver
795561,38,11,25,5113.93,6,0.17,7.8,North,Silver
1457844,17,11,10,13605.05,6,0.35,9.3,North,Silver
623722,25,14,15,10490.57,5,0.13,7.3,South,Silver
1754234,6,10,18,6941.33,3,0.01,6.5,South,Silver
916800,38,15,16,998.51,2,0.4,1.4,North,Gold
2710771,51,10,15,17017.3,1,0.16,9.6,East,Gold
1826541,15,7,17,17323.66,4,0.21,6.5,South,Gold
2456572,17,12,15,6632.56,5,0.4,0.6,East,Gold
2114997,34,14,20,9786.5,5,0.37,3.4,West,Silver
293701,93,15,18,15401.34,5,0.19,4.1,South,Silver
1248427,78,12,22,14041.37,5,0.36,7.3,East,Silver
1873791,5,13,23,15632.6,5,0.18,4.3,East,Silver
246238,83,17,27,5574.49,5,0.09,6.7,West,Silver
2087741,12,8,26,12166.3,3,0.05,2.6,North,Silver
2901435,47,11,14,3967.33,5,0.01,4.2,West,Platinum
601134,33,10,17,13269.06,6,0.05,3.3,South,Silver
985048,45,14,12,12299.79,3,0.0,8.0,East,Silver
1706324,95,9,10,17566.64,5,0.41,5.3,West,Silver
1371048,45,8,20,15058.0,3,0.23,6.5,West,Gold
216688,39,13,27,16304.02,3,0.44,1.3,East,Gold
740115,77,13,21,563.83,7,0.45,2.9,West,Silver
1621388,43,11,15,7722.6,9,0.16,8.5,West,Gold
1687593,54,13,18,6141.74,7,0.44,8.0,West,Silver
528273,72,8,26,7740.28,4,0.41,1.7,North,Gold
1467768,79,11,16,4973.45,3,0.4,4.1,East,Gold
225307,32,11,17,17862.66,3,0.23,0.9,West,Silver
2285446,60,10,16,17208.05,5,0.07,2.2,North,Gold
2775955,66,18,22,6931.45,5,0.22,0.4,East,Gold
1418592,46,17,23,1143.01,9,0.17,2.6,South,Gold
1774918,69,11,9,11847.13,7,0.06,2.2,East,Gold
215013,77,14,25,16804.07,1,0.29,11.0,West,Gold
1712281,38,13,20,10062.61,5,0.17,4.0,East,Silver
1703088,64,14,20,17727.27,4,0.44,3.0,North,Silver
232645,11,11,18,15038.57,3,0.2,2.9,North,Silver
370295,24,10,19,9802.69,4,0.26,6.8,South,Gold
964558,49,15,29,16533.31,6,0.14,9.6,West,Gold
845466,94,13,15,8397.73,8,0.09,10.3,West,Gold
940788,53,14,17,3173.48,4,0.1,3.0,North,Silver
1785463,23,9,15,4234.37,13,0.32,8.3,South,Gold
2381168,93,15,25,15185.46,10,0.16,7.0,North,Silver
1363717,97,5,28,12539.48,6,0.32,4.7,East,Silver
1845137,86,11,10,4244.34,6,0.32,8.3,South,Silver
1104098,19,16,28,16319.38,4,0.27,10.6,West,Platinum
384080,5,19,16,3907.32,6,0.0,4.4,South,Gold
675498,89,10,32,17137.31,5,0.14,3.6,East,Gold
2566134,22,8,9,7222.8,7,0.19,8.7,West,Silver
777339,65,14,19,1657.01,3,0.07,6.3,East,Gold
379647,96,19,8,12384.78,3,0.02,5.1,East,Silver
2065912,82,9,17,2999.23,2,0.02,10.0,North,Silver
1653369,88,14,18,9739.9,4,0.4,2.7,North,Platinum
2652425,65,15,13,7694.15,7,0.23,10.5,South,Silver
2306303,4,8,25,16153.58,2,0.26,8.3,South,Silver
1415261,100,19,19,10578.69,4,0.3,9.7,North,Gold
1003100,38,11,17,16439.29,3,0.14,5.3,North,Gold
2123680,57,15,18,10547.53,5,0.29,3.8,West,Silver
1401632,89,18,14,8083.29,5,0.02,5.2,South,Silver
2617161,7,13,25,544.98,4,0.36,6.8,East,Silver
200382,27,16,13,11244.85,4,0.3,8.7,South,Silver
1587646,6,9,17,9848.22,4,0.2,11.0,South,Silver
2205333,41,12,14,5224.62,3,0.36,11.2,South,Silver
280167,57,5,14,11178.82,2,0.03,11.9,South,Silver
1272216,41,13,23,5662.28,9,0.06,3.6,West,Platinum
2685257,98,10,17,6492.08,4,0.15,3.9,East,Silver
1357094,95,12,19,10094.11,5,0.22,11.5,North,Silver
1304440,81,5,20,16116.73,6,0.3,3.4,East,Gold
2985221,88,8,14,10715.44,7,0.27,4.1,West,Gold
587058,49,4,18,10896.53,2,0.33,2.6,East,Gold
1715172,98,13,18,6594.18,2,0.28,1.2,North,Platinum
791756,81,12,12,3458.34,5,0.19,1.5,South,Silver
1511483,18,8,17,7363.73,7,0.23,9.2,North,Silver
1772794,93,11,25,15845.07,4,0.16,11.3,East,Silver
1056007,12,6,21,7881.22,5,0.01,3.0,West,Silver
1873117,45,12,19,1493.83,8,0.27,4.0,West,Silver
1832959,43,12,13,4109.0,3,0.44,2.5,East,Gold
757320,37,20,20,3566.85,5,0.37,3.7,East,Silver
1010560,46,8,19,7769.57,6,0.41,9.1,South,Gold
1892766,66,10,15,14734.05,4,0.33,1.2,West,Silver
1471595,85,7,11,2179.52,9,0.32,8.6,East,Silver
2654038,4,14,13,15993.31,5,0.11,3.0,South,Silver
1448954,54,11,16,17998.47,6,0.12,1.2,South,Silver
632809,15,14,20,6875.99,3,0.42,0.1,East,Platinum
525874,8,10,12,309.41,3,0.38,11.7,West,Gold
1041068,80,7,14,16361.65,5,0.4,7.1,South,Gold
1037821,16,14,16,15480.36,5,0.11,1.2,West,Gold
1003448,98,7,20,6278.84,5,0.11,3.7,North,Gold
2685320,88,10,24,5191.69,4,0.09,1.4,South,Platinum
2338111,57,20,8,9968.04,5,0.39,3.6,South,Gold
2946883,87,12,17,5401.26,7,0.27,1.2,West,Platinum
252560,85,15,19,3145.79,3,0.08,2.9,East,Platinum
2847101,24,13,22,11580.79,6,0.16,11.5,West,Platinum
264894,14,12,16,985.83,5,0.43,1.5,East,Silver
669407,84,14,18,17337.67,4,0.29,8.1,North,Platinum
894332,59,7,25,8145.46,7,0.0,3.3,South,Platinum
1744800,15,13,20,7250.04,5,0.11,7.9,North,Silver
403356,7,18,12,6999.74,2,0.27,1.1,East,Gold
2906216,7,8,14,11715.29,6,0.29,5.5,West,Silver
2485025,64,11,16,3176.67,6,0.33,6.1,East,Silver
356006,69,11,17,10767.38,6,0.02,1.1,West,Silver
263134,12,10,18,13847.74,3,0.03,1.8,South,Silver
2271230,6,6,18,13851.79,4,0.2,5.6,West,Silver
924522,93,11,26,6448.92,6,0.12,5.6,East,Silver
1534026,11,10,15,10603.34,4,0.37,11.5,South,Silver
1103608,9,5,16,506.31,2,0.09,9.4,North,Silver
2843817,6,11,22,11315.32,5,0.25,4.6,North,Silver
2863810,53,12,18,8616.26,2,0.32,1.4,East,Silver
2547671,77,19,22,2282.91,4,0.21,8.5,North,Platinum
1529880,14,12,16,5433.02,10,0.03,6.7,East,Silver
2985576,48,9,20,7820.03,5,0.03,8.4,East,Platinum
2694222,69,15,16,14261.07,7,0.03,10.9,South,Silver
1700347,75,14,21,1335.05,9,0.4,10.5,East,Silver
1010228,28,11,30,9908.91,6,0.04,3.5,South,Silver
2303511,58,12,17,11334.97,4,0.12,8.0,East,Silver
2437426,94,18,16,14590.38,8,0.27,8.1,West,Gold
1086975,25,14,12,6440.02,5,0.08,10.3,West,Silver
2805778,68,10,21,3222.82,6,0.25,4.6,West,Silver
2211475,38,17,11,16829.68,7,0.42,4.0,North,Gold
2717674,20,14,14,6342.49,5,0.0,5.3,South,Gold
2452449,52,12,23,17990.06,6,0.14,11.3,South,Silver
1866293,7,14,20,7749.79,2,0.34,2.3,East,Silver
2748403,59,9,19,11985.61,7,0.12,6.7,West,Silver
898720,74,21,18,15066.3,4,0.37,10.3,East,Platinum
216454,6,11,18,17729.8,2,0.36,2.2,South,Silver
859786,81,16,20,7333.5,5,0.25,8.8,South,Gold
2930724,100,5,20,2850.12,3,0.39,4.6,South,Silver
2568733,15,14,25,17502.69,6,0.17,2.7,North,Silver
323061,44,18,18,16981.75,4,0.06,8.2,West,Silver
1328567,74,14,21,1919.44,4,0.09,11.3,West,Silver
2507400,44,12,20,12444.38,1,0.3,9.4,East,Gold
2780373,17,19,21,15040.61,7,0.12,1.4,East,Platinum
451520,79,11,22,3458.94,6,0.38,8.2,West,Gold
1721961,51,14,18,12332.83,7,0.31,11.5,East,Platinum
2040456,67,16,26,17881.59,5,0.15,2.1,South,Silver
2421549,59,6,16,7619.83,3,0.37,1.6,South,Silver
